,clean
0,jurong point crazy available bugis n great world la e buffet cine get amore wat
1,ok lar joke wif u oni
2,free entry wkly comp win fa cup final tkts st text fa receive entry question std txt rate t c apply
3,u dun early hor u c
4,nah think go usf live
5,freemsg hey darle week word like fun tb ok xxx std chgs send rcv
6,brother like speak treat like aid patent
7,request ' melle melle oru minnaminunginte nurungu vettam ' set callertune caller press copy friend callertune
8,winner value network customer select receivea prize reward claim claim code kl valid hour
9,mobile month u r entitled update late colour mobile camera free mobile update co free
10,gon na home soon want talk stuff anymore tonight k cry today
11,chance win cash pound txt csh send cost p day day tsandcs apply reply hl info
12,urgent win week free membership prize jackpot txt word claim t c www dbuk net lccltd pobox ldnw rw
13,search right word thank breather promise wo nt help grant fulfil promise wonderful blessing time
14,xxxmobilemovieclub use credit click wap link txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl
15,oh k watch
16,eh u remember spell yes v naughty v wet
17,fine s way u feel s way gota b
18,england v macedonia nt miss goal team news txt ur national team eg england try wale scotland txt poboxox w wq
19,m go try month ha ha joke
20,pay lar da stock comin
21,aft finish lunch str lor ard smth lor u finish ur lunch
22,ffffffffff alright way meet soon
23,force eat slice hungry tho suck mark get worry know sick turn pizza lol
24,catch bus fry egg tea eat mom leave dinner feel love
25,amp pack car let know room
26,ahhh work vaguely remember feel like lol
27,wait clear sure sarcastic x want live
28,yeah get v apologetic n fall actin like spoilt child get catch till wo badly cheer
29,fear faint housework quick cuppa
30,thank subscription ringtone uk mobile charge month confirm reply yes reply charge
31,yup ok home look timing msg xuhui go learn nd lesson
32,oops let know roommate
33,letter b car
34,lor u decide
35,hello saturday texte decide tomo try invite
36,pls ahead watt want sure great weekend abiola
37,forget tell want need crave love sweet arabian stee mmmmmm yummy
38,  rodger burn msg try reply sm free nokia mobile free camcorder delivery tomorrow
39,great hope like man endowed lt gt inch
40,call message miss call
41,hep b immunisation nigeria
42,yeah hopefully tyler maybe ask bit
43,u know stubborn want hospital keep tell mark weak sucker hospital weak sucker
44,think time see class
45,gram usually run like lt gt half eighth smart get second gram lt gt
46,k fyi x ride early tomorrow morning crash place tonight
47,wow realize embarassed accomodation think like good happy cave sorry sorry offer sorry room embarassing
48,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
49,know mallika sherawat yesterday find lt url gt
50,congrat year special cinema pass c suprman v matrix starwar etc free bx ip pm nt miss
51,sorry later meeting
52,yes gauti sehwag odi series
53,gon na pick burger way home pain kill
54,ha ha ha good joke girl situation seeker
55,sorry roommate take forever ok come
56,ok lar double check wif da hair dresser say wun cut v short say cut look nice
57,value customer pleased advise follow recent review mob award bonus prize
58,today song dedicated day song u dedicate send ur valuable frnd rply
59,urgent ur award complimentary trip eurodisinc trav aco entry claim txt di morefrmmob shracomorsglsuplt ls aj
60,hear new divorce barbie come ken stuff
61,plane month end
62,wah lucky man save money hee
63,hi babe m home wanna xx
64,k k perform
65,wait machan free
66,s cool gentleman treat dignity respect
67,like people shy pa
68,operate lt gt
69,look job ta earn
70,ok way home hi hi
71,later network urgnt sm
72,real u get yo need ticket jacket multis
73,yes start send request pain come bed double coin factory get ta cash nitro
74,ela kano il download come wen ur free
75,yeah don t stand close tho ll catch
76,sorry pain ok meet night spend late afternoon casualty mean y stuff moro include time sheet sorry
77,smile pleasure smile pain smile trouble pour like rain smile sum hurt u smile becoz love u smile
78,customer service representative pm win guarantee cash prize
79,nt plan buy later check lido get e afternoon u finish work
80,free ringtone wait collect simply text password mix verify usher britney fml
81,watch telugu movie wat abt u
82,finish load loan pay
83,hi wk ok hol yes bit run forget hairdresser appointment need home n show cause prob u ham
84,okay ur price long legal wen pick y u ave x ams xx
85,look car buy go driving test
86,wow right mean guess give boston man change search location nyc change cuz signin page say boston
87,umma life vava umma love lot dear
88,thank lot wish birthday thank make birthday truly memorable
89,aight hit cash
90,ip address test consider computer minecraft server
91,know grumpy old people mom like well lie play joke
92,nt worry guess busy
93,plural noun research
94,go dinner msg
95,ok wif cos like try new thing scare u dun like mah cos u say loud
96,gent try contact weekend draw show win prize guarantee claim code k valid hrs ppm
97,wa ur openin sentence formal fine juz tt eatin n puttin weight haha anythin special happen
98,enter cabin pa say '' happy b'day boss '' feel special askd lunch lunch invite apartment go
99,winner u specially select receive holiday flight inc speak live operator claim p min
100,goodo yes speak friday egg potato ratio tortilla need
101,hmm uncle inform pay school directly pls buy food
102,private account statement show unredeemed bonus point claim identifi code expire
103,urgent mobile award bonus caller prize final try contact u landline box wr c ppm
104,new address apple pair malarky
105,today voda number end select receive award match quote claim code standard rate app
106,go sao mu today
107,  predict wat time finish buy
108,know yetunde send money send text bother send nt involve impose place apologise
109,hey girl r u hope u r del r bak long time c sum time lucyxx
110,k k cost
111,dear tmorrow pls accomodate
112,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr sp tyrone
113,want lay tonight want real dog location send direct ur mob join uk large dog network bt txte gravel nt ec p msg p
